id,uniqueId,nome,nacionalidade,clube,posicao,idade,ca,pa,aDiff,valor,valorVenda,peEsquerdo,peDireito,melhorRating,melhorPotRating,fitness,Mtc Exc,Jdns,Con,Aerial Ability,Aggression,Agility,Ambition,Anticipation,Balance,Bravery,Command Of Area,Communication,Consistency,Controversy,Corners,Creativity,Crossing,Decisions,Determination,Dirtiness,Dribbling,Eccentricity,Finishing,First Touch,Flair,Handling,Heading,Important Matches,Influence,Injury Proneness,Jumping,Kicking,Long Shots,Long Throws,Loyalty,Marking,Natural Fitness,Off The Ball,One On Ones,Pace,Passing,Penalties,Positioning,Pressure,Professionalism,Reflexes,Rushing Out,Free Kicks,Stamina,Strength,Technique,Temperament,Tendency To Punch,Composure,Throwing,Versatility,Work Rate,fm2008_clube_origem,clubId,clubName,status,id_importacao,salario,salario_origem,lista_definitiva
28010492,28010492,"Ajose, Nicky",Inglaterra,Sem Clube,ST,15,59,148,89,0,0,9,20,"42,89% (FS)","62,52% (FS)","100,00%","100,00%",0,100%,2,3,8,12,5,7,5,2,2,5,2,2,3,4,4,8,3,7,5,9,7,13,1,2,5,3,3,4,2,2,1,10,2,15,9,1,14,6,4,7,9,11,7,2,5,9,5,8,10,5,7,2,5,7,Man Utd,sem-clube,Sem Clube,DISPONIVEL_LEILAO,28010492,177000,CALCULADO_FM_UNIVERSE,FM2008_UNIVERSO_LEILOES_V1
28000902,28000902,"Amos, Ben",Inglaterra,Sem Clube,GK,17,77,139,62,0,0,5,20,"54,34% (GK)","67,17% (GK)","100,00%","100,00%",0,100%,14,4,11,8,10,10,8,12,12,10,3,3,5,1,9,12,13,1,3,4,7,1,12,3,7,5,5,11,10,3,3,11,1,10,1,9,7,8,1,8,10,14,14,10,3,8,7,8,11,8,6,9,1,7,Man Utd,sem-clube,Sem Clube,DISPONIVEL_LEILAO,28000902,231000,CALCULADO_FM_UNIVERSE,FM2008_UNIVERSO_LEILOES_V1
320552,320552,Anderson,Brasil,Sem Clube,AM C,19,158,188,30,21.034.480,58.996.520,20,14,"70,19% (AM)","77,28% (AM)","100,00%","100,00%",0,100%,4,14,14,16,13,13,14,5,4,13,10,8,16,11,13,17,10,14,5,10,16,16,1,7,16,7,5,7,3,11,3,13,5,16,13,5,15,16,10,8,17,12,9,2,13,12,14,17,14,1,13,4,11,15,Man Utd,sem-clube,Sem Clube,DISPONIVEL_LEILAO,320552,684000,CALCULADO_FM_UNIVERSE,FM2008_UNIVERSO_LEILOES_V1
28002948,28002948,"Barnes, Michael",Inglaterra,Sem Clube,AM L,19,78,118,40,397.580,275.010,10,20,"42,82% (W)","52,35% (W)","100,00%","100,00%",0,100%,1,5,8,11,6,9,6,4,4,7,2,7,5,9,4,7,2,8,2,6,9,10,1,4,6,3,5,7,2,4,2,8,4,9,7,2,14,7,5,4,6,14,10,3,6,7,4,8,10,4,6,5,6,10,Man Utd,sem-clube,Sem Clube,DISPONIVEL_LEILAO,28002948,238000,CALCULADO_FM_UNIVERSE,FM2008_UNIVERSO_LEILOES_V1
28019284,28019284,"Brady, Robert",Irlanda,Sem Clube,AM L,15,62,160,98,0,0,20,8,"44,32% (W)","65,99% (W)","100,00%","100,00%",0,100%,2,7,7,11,6,8,8,5,4,9,3,8,6,8,5,12,4,9,1,5,9,15,2,4,8,4,3,4,4,5,2,10,4,10,8,5,13,8,7,4,11,14,11,3,8,6,6,10,12,5,7,2,8,8,Man Utd,sem-clube,Sem Clube,DISPONIVEL_LEILAO,28019284,186000,CALCULADO_FM_UNIVERSE,FM2008_UNIVERSO_LEILOES_V1
28010494,28010494,"Brandão, Evandro",Portugal / Angola / Inglaterra,Sem Clube,F C,16,54,132,78,0,0,9,20,"40,97% (FS)","59,39% (FS)","100,00%","100,00%",0,100%,5,14,10,12,5,8,11,4,5,8,2,3,5,4,5,14,7,6,1,5,8,10,1,7,7,2,4,8,3,3,2,9,2,11,5,5,13,7,7,1,10,10,10,1,4,6,5,7,9,1,5,4,5,8,Man Utd,sem-clube,Sem Clube,DISPONIVEL_LEILAO,28010494,162000,CALCULADO_FM_UNIVERSE,FM2008_UNIVERSO_LEILOES_V1
28019285,28019285,"Brown, Reece",Inglaterra,Sem Clube,D C,15,49,129,80,0,0,10,20,"43,55% (CB)","61,15% (CB)","100,00%","100,00%",0,100%,1,13,8,14,7,6,12,1,2,12,7,2,3,4,5,12,6,3,4,4,8,4,4,8,8,2,5,9,1,3,4,8,10,11,4,2,13,6,3,7,10,10,7,4,2,7,7,8,8,1,8,5,5,7,Man Utd,sem-clube,Sem Clube,DISPONIVEL_LEILAO,28019285,147000,CALCULADO_FM_UNIVERSE,FM2008_UNIVERSO_LEILOES_V1
2003610,2003610,"Brown, Wes",Inglaterra,Sem Clube,D RC,27,158,165,7,5.544.500,4.151.730,10,20,"70,35% (CB)","74,45% (CB)","100,00%","100,00%",0,100%,1,15,13,14,15,12,15,1,1,14,3,1,5,8,12,16,8,6,1,2,13,3,1,16,14,5,10,16,1,1,2,18,16,14,7,1,16,8,2,15,14,17,1,1,1,15,14,12,14,1,12,1,8,15,Man Utd,sem-clube,Sem Clube,DISPONIVEL_LEILAO,2003610,529000,CALCULADO_FM_UNIVERSE,FM2008_UNIVERSO_LEILOES_V1
28000904,28000904,"Bryan, Antonio",Inglaterra,Sem Clube,"AM R, F C",17,63,112,49,0,0,7,20,"46,16% (FS)","56,56% (FS)","100,00%","100,00%",0,100%,1,6,10,12,7,9,8,1,1,7,3,4,6,7,7,13,1,7,1,8,9,10,1,2,14,2,4,4,1,6,2,14,4,11,9,1,13,8,6,3,16,11,1,1,6,7,6,10,12,1,7,1,8,8,Man Utd,sem-clube,Sem Clube,DISPONIVEL_LEILAO,28000904,189000,CALCULADO_FM_UNIVERSE,FM2008_UNIVERSO_LEILOES_V1
28019286,28019286,"Bulmer, Niki-Lee",Inglaterra,Sem Clube,GK,15,45,130,85,0,0,7,20,"46,02% (GK)","66,20% (GK)","100,00%","100,00%",0,100%,11,3,9,13,7,7,8,7,6,10,5,5,4,4,5,14,12,3,5,2,6,5,11,1,9,5,4,10,8,4,1,6,2,13,4,5,6,2,2,8,5,12,12,6,16,11,6,6,12,4,5,8,3,8,Man Utd,sem-clube,Sem Clube,DISPONIVEL_LEILAO,28019286,135000,CALCULADO_FM_UNIVERSE,FM2008_UNIVERSO_LEILOES_V1
